,Data,AED,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,EGP,EUR,GBP,100 HUF,INR,100 JPY,100 KRW,MDL,MXN,NOK,NZD,PLN,RSD,RUB,SEK,THB,TRY,UAH,USD,XAU,XDR,ZAR
0,2024-01-03,1.2390,3.0693,2.5427,0.9241,3.4127,5.3351,0.6367,0.2016,0.6669,0.1471,4.9731,5.7426,1.3054,0.0546,3.1896,0.3475,0.2586,0.2668,0.4381,2.8452,1.1377,0.0424,0.0496,0.4444,0.1324,0.1528,0.1196,4.5504,300.6318,6.0831,0.2431
1,2024-01-04,1.2360,3.0561,2.5426,0.9226,3.4058,5.3416,0.6350,0.2017,0.6667,0.1469,4.9730,5.7685,1.3105,0.0545,3.1499,0.3468,0.2595,0.2670,0.4407,2.8374,1.1434,0.0424,0.0497,0.4433,0.1317,0.1525,0.1192,4.5395,298.7471,6.0716,0.2435
2,2024-01-05,1.2416,3.0455,2.5433,0.9311,3.4089,5.3439,0.6373,0.2018,0.6670,0.1480,4.9744,5.7711,1.3150,0.0548,3.1395,0.3460,0.2577,0.2678,0.4409,2.8323,1.1434,0.0424,0.0501,0.4436,0.1313,0.1531,0.1197,4.5599,298.8448,6.0853,0.2424
3,2024-01-08,1.2372,3.0420,2.5421,0.9321,3.3949,5.3402,0.6346,0.2027,0.6666,0.1471,4.9720,5.7747,1.3169,0.0547,3.1471,0.3447,0.2576,0.2692,0.4379,2.8294,1.1419,0.0424,0.0502,0.4425,0.1299,0.1520,0.1188,4.5440,296.2069,6.0735,0.2431
4,2024-01-09,1.2377,3.0450,2.5419,0.9334,3.4013,5.3431,0.6347,0.2022,0.6666,0.1471,4.9715,5.7852,1.3126,0.0547,3.1568,0.3445,0.2580,0.2702,0.4386,2.8394,1.1464,0.0424,0.0507,0.4435,0.1300,0.1518,0.1189,4.5460,297.6556,6.0767,0.2438
5,2024-01-10,1.2366,3.0465,2.5423,0.9255,3.3973,5.3298,0.6336,0.2023,0.6668,0.1470,4.9724,5.7778,1.3140,0.0547,3.1348,0.3445,0.2564,0.2677,0.4393,2.8351,1.1456,0.0424,0.0509,0.4438,0.1298,0.1517,0.1189,4.5418,297.2891,6.0699,0.2437
6,2024-01-11,1.2348,3.0414,2.5423,0.9269,3.3909,5.3251,0.6332,0.2017,0.6668,0.1468,4.9723,5.7780,1.3107,0.0546,3.1179,0.3445,0.2561,0.2667,0.4390,2.8335,1.1433,0.0424,0.0510,0.4440,0.1293,0.1506,0.1193,4.5351,296.2584,6.0634,0.2433
7,2024-01-12,1.2353,3.0382,2.5427,0.9317,3.3963,5.3151,0.6331,0.2017,0.6669,0.1468,4.9731,5.7867,1.3107,0.0547,3.1262,0.3457,0.2551,0.2689,0.4413,2.8328,1.1411,0.0424,0.0515,0.4417,0.1294,0.1514,0.1199,4.5371,298.1008,6.0664,0.2436
8,2024-01-15,1.2383,3.0285,2.5429,0.9365,3.3890,5.3231,0.6338,0.2013,0.6668,0.1472,4.9736,5.7859,1.3100,0.0549,3.1209,0.3442,0.2562,0.2694,0.4406,2.8165,1.1376,0.0424,0.0519,0.4414,0.1301,0.1511,0.1201,4.5481,300.1567,6.0730,0.2434
9,2024-01-16,1.2449,3.0184,2.5442,0.9402,3.3880,5.3115,0.6356,0.2013,0.6672,0.1480,4.9761,5.7747,1.3092,0.0550,3.1166,0.3420,0.2571,0.2685,0.4383,2.8147,1.1327,0.0424,0.0520,0.4391,0.1291,0.1517,0.1205,4.5724,299.9556,6.0884,0.2420
